id;broker_id;host;port;is_controller
1;Practical Georgia Pizza;driver matrix;30668;true
2;Ergonomic Rubber Tuna Tennessee vortals;Identity human-resource;60517;true
3;Tools payment calculate;Gibraltar Pound;43438;true
4;Sleek relationships Legacy;deposit Shoes;75647;false
5;incubate compress;Investment Account mobile;21967;false
6;invoice cross-media Markets;port;91795;true
7;enterprise;Idaho Italy Jordan;98976;false
8;innovate Avon;explicit;47392;false
9;Buckinghamshire salmon Refined;Tasty Metal Computer;14149;false
10;Borders Generic Strategist;navigating XSS Applications;76689;false
