id;cluster_id;name;bootstrap_servers
1;Gloves function;Buckinghamshire Avon Rustic Metal Chair;Personal Loan Account Checking Account
2;calculating Liaison;XML Summit Guernsey;Ergonomic Frozen Car extend Directives
3;deposit Refined;Movies;navigate deposit
4;orchestrate;Tuna Pine Garden;EXE Pants
5;convergence Rustic tan;multi-byte;Road
6;Metal;Prairie efficient invoice;Shoes array
7;full-range;Saint Pierre and Miquelon;payment Movies B2C
8;conglomeration;Fantastic Cotton Soap fault-tolerant invoice;generate 1080p Salad
9;Walks cross-platform;Turkey Tasty;Liaison Supervisor XML
10;ability Human Plastic;invoice application;French Southern Territories Licensed Home Loan Account
